technology,date,suggestion
Ant,Jul 2014,Hold
Ant,Jan 2014,Hold
Coding architects,Mar 2012,Adopt
Coding architects,Jul 2011,Adopt
Coding architects,Jan 2011,Adopt
Coding architects,Aug 2010,Adopt
Cloud-init,Jan 2014,Assess
Composer,Nov 2015,Adopt
Composer,May 2015,Adopt
Composer,Jan 2015,Trial
Aurelia,Nov 2016,Assess
Aurelia,Apr 2016,Assess
Continuous Delivery (CD),Mar 2012,Adopt
Continuous Delivery (CD),Jul 2011,Adopt
Bottled Water,Nov 2016,Assess
Hadoop 2.0,Jul 2014,Adopt
Hadoop 2.0,Jan 2014,Trial
Hadoop 2.0,May 2013,Trial
Calabash,Jan 2014,Trial
Deltacloud,Jul 2011,Assess
Deltacloud,Jan 2011,Assess
HSTS,Nov 2016,Adopt
HSTS,Apr 2016,Trial
HSTS,Nov 2015,Trial
Elixir,Nov 2016,Trial
Elixir,Apr 2016,Assess
Elixir,Jan 2014,Assess
iBeacon,Jan 2015,Trial
iBeacon,Jul 2014,Trial
Humane registry,Jan 2015,Trial
Humane registry,Jul 2014,Trial
Browsersync,Apr 2016,Trial
Browsersync,Nov 2015,Trial
Babel,Nov 2016,Adopt
ievms,Apr 2016,Assess
ievms,Nov 2015,Assess
Application appliances,Jan 2011,Assess
Application appliances,Aug 2010,Assess
Application appliances,Apr 2010,Assess
Consul,Nov 2016,Adopt
Consul,Apr 2016,Adopt
Consul,Nov 2015,Trial
Consul,May 2015,Trial
Consul,Jan 2015,Assess
Consul,Jul 2014,Assess
Android-x86,Nov 2016,Assess
Axon,Nov 2015,Assess
APIs as a product,Nov 2016,Trial
Dc.js,Jan 2015,Assess
Container security scanning,Nov 2016,Assess
Docker for builds,Nov 2015,Trial
Agile analytics,Oct 2012,Trial
Agile analytics,Mar 2012,Trial
Event Sourcing,Jul 2014,Trial
Event Sourcing,Mar 2012,Assess
Event Sourcing,Jul 2011,Assess
Dependency management for JavaScript,Jul 2014,Adopt
Dependency management for JavaScript,Jan 2014,Adopt
Windows Phone,Oct 2012,Assess
Windows Phone,Mar 2012,Trial
GitLab,May 2015,Trial
GitLab,Jan 2015,Trial
ARM Server SoC,Jan 2015,Assess
ARM Server SoC,Jul 2014,Assess
ZAP,Nov 2015,Trial
ZAP,May 2015,Trial
GPGPU,Mar 2012,Assess
GPGPU,Jul 2011,Assess
GPGPU,Jan 2011,Assess
GPGPU,Aug 2010,Assess
IndiaStack,Nov 2016,Assess
Hipster batch,Jan 2015,Trial
Big Data envy,Nov 2016,Hold
Big Data envy,Apr 2016,Hold
Iterative data warehousing,Jul 2011,Trial
Iterative data warehousing,Aug 2010,Assess
Iterative data warehousing,Apr 2010,Assess
Iterative data warehousing,Jan 2010,Assess
Component-based frameworks,May 2013,Hold
Component-based frameworks,Oct 2012,Hold
Frank,May 2013,Adopt
Frank,Oct 2012,Trial
Frank,Mar 2012,Trial
Dagger,Nov 2016,Trial
Dagger,Apr 2016,Trial
Couchbase,May 2013,Trial
Couchbase,Oct 2012,Trial
Embedded servlet containers,May 2013,Adopt
Embedded servlet containers,Oct 2012,Adopt
Embedded servlet containers,Mar 2012,Trial
Zucchini,Oct 2012,Assess
JavaScript as a first class language,Mar 2012,Adopt
JavaScript as a first class language,Jul 2011,Adopt
JavaScript as a first class language,Jan 2011,Adopt
JavaScript as a first class language,Aug 2010,Adopt
JavaScript as a first class language,Apr 2010,Adopt
JavaScript as a first class language,Jan 2010,Adopt
Enlive,Apr 2016,Trial
Enlive,Nov 2015,Trial
HoloLens,Nov 2016,Assess
H2O,Apr 2016,Trial
H2O,Nov 2015,Trial
H2O,May 2015,Assess
Development environments in the cloud,Jul 2014,Trial
Development environments in the cloud,Jan 2014,Assess
Development environments in the cloud,May 2013,Assess
Hosted IDE's,Apr 2016,Assess
Hosted IDE's,Nov 2015,Assess
Backbone.js,May 2013,Hold
Backbone.js,Oct 2012,Hold
Backbone.js,Jul 2011,Assess
